"user_id","group"
"6d6500be-43d1-4e6b-8f73-c1acaa96f4f7","variant"
"663555a6-cd8d-4156-adb8-72d4c106bd43","variant"
"b0ddb9d0-998b-4c51-aeb1-8bd4231ed294","variant"
"d0d44f04-0637-4ca1-980a-1fbb271a2969","variant"
"d7161db4-9370-4e9e-998e-b165619d21f1","variant"
"160e14f8-76e1-4248-ab1d-2af5b8eec21b","variant"
"d35df832-5260-4063-9820-0d6b4cc2f3ad","variant"
"783f1c66-8b31-42db-bf9b-cb7641c5063e","variant"
"05d2b0d3-d68d-44bd-a485-4b466daa7828","control"
"2dcdd14d-996b-4033-bb3a-a95375784346","variant"
"50c2dbb0-3fc3-473e-b66f-237e3f51c4e3","control"
"5ff366db-da7a-4831-84ba-e2da30e50ae7","variant"
"4b829fb5-e84f-402f-b5b0-a609a695bb3b","variant"
"04c648b8-5973-4f3e-8483-734520e71cd2","control"
"482962ab-6905-4be2-b7c2-d45ffb1a0aee","variant"
"43a07450-61bf-4f55-a59e-2e34cb41d0a1","control"
"5ebe4d3b-4d0c-4434-bb64-ce43c2dea272","variant"
"54c0066d-9fca-405b-8462-ab9bef401da6","control"
"7ae6ecc4-eee6-488e-a580-2d68c6cc2a66","control"
"c949dcc7-4ca3-4402-b05e-c8c12abe1dac","control"
"cb8726c1-f167-4e1a-8c5e-69cb7dde39ea","control"
"186f1f75-882b-4662-a3e9-122f00735107","variant"
"7da9a313-cf28-48cf-9f9a-daf731777d50","variant"
"cbb01e4e-7eee-4183-b4f5-ad13230048d1","variant"
"c76939dd-a37f-42e6-844e-98fe760b5384","control"
"11b8dc06-85bc-44a7-b3a8-6ce0c50f0e35","control"
"04eaf7ac-dd97-48a8-a26f-ad273ef3f3e9","variant"
"53df55f3-e04d-4052-b952-17050f66638b","variant"
"072d04f8-f94b-405b-a709-557f81dcf076","control"
"4c40464f-735b-40b0-87bc-1d5e8eb26e09","variant"
"b60e5105-db4c-49cd-bc42-1023854a53e5","control"
"6b7b9656-74e9-4a41-bf10-67d477fad3ad","variant"
"0d9559cb-95a4-4800-a814-1aba4a401514","variant"
"845c5967-b50b-4f1a-9016-bbfe64fa1ddb","control"
"3689fa7e-6fa7-4e27-b90d-f644147b52a3","variant"
"ddb4c4da-5925-4e6d-9426-9b7680453a2d","variant"
"ea89abdd-4c3c-4542-bc8a-e6c3edcb3772","variant"
"e7be9368-516f-49a3-9e24-f79368259b82","variant"
"1b97036c-707b-43e0-a9d4-dc76eeae1c15","variant"
"cb3b04c5-ef35-48a9-a797-eb6ef77ffe5b","control"
"6b7c0b0c-f92a-49a6-9c9f-547f956a5111","variant"
"6d741b8d-aac6-469f-962e-318c8444e563","control"
"37da25c5-cf81-4728-9d7f-87609f80d9cf","variant"
"89fd537d-bfc4-49b0-9f84-9715aa53d6ea","variant"
"0fc97f15-2b82-4087-a1de-0614f313a2d7","variant"
"ba4df9da-fd42-4d1e-ae58-71d7bed90fea","control"
"789c215a-11d5-496f-8890-2051d8d82df9","variant"
"c3d80500-99c6-4fa4-81de-8131e1a95e4c","variant"
"ccea87d2-20f3-40ce-bc9a-1593548f5c0c","variant"
"b10a07dc-6211-4e58-b937-c6de5bbe9dca","variant"
"3a88650e-1a9f-4333-be9a-9921a4e0449e","control"
"ebefa90a-fc9a-4bc6-99e2-8a91a3b2e419","variant"
